"","RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation","call_distance","call_door","call_wing_DS","call_wing_DP","call_wing","SweptAreaDSKM2","SweptAreaWSKM2"
"21","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",26,4,2002,10,6,1330,54,30,"D",40.1433,-9.4049,40.1183,-9.4116,"09E0",136,"V",NA,1,1,"C",NA,NA,NA,2963,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,3.2,NA,NA,NA,NA,NA,NA,2,315,0.5,20.5,12.6,35.67,35.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.329954247269,14.329954247269,0.1354091,0.042459654434658
"22","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",77,24,2002,10,18,1325,54,30,"D",36.8633,-8.8599,36.8883,-8.8466,"02E1",122,"V",NA,1,1,"C",NA,NA,NA,2963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3.2,NA,NA,NA,NA,NA,350,2,300,0.5,17.2,NA,35.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.1859764552153,14.1859764552153,0.1354091,0.0420330482368028
"23","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",73,37,2002,10,24,1320,54,30,"D",37.3033,-9.0383,37.2799,-9.0533,"03E0",134,"V",NA,1,1,"C",NA,NA,NA,2963,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,3.2,NA,NA,NA,NA,NA,180,2,270,1,19.4,14.5,35.71,35.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.3103190827499,14.3103190827499,0.1354091,0.0424014754421879
"24","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",62,43,2002,10,25,1315,53,30,"D",37.595,-8.8633,37.6216,-8.8583,"04E1",86,"V",NA,1,1,"C",NA,NA,NA,2963,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3.2,NA,NA,NA,NA,NA,220,2,270,1,19.4,15.6,35.84,36.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,13.722536575151,13.722536575151,0.1354091,0.0406598758721723
"25","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",16,16,2002,10,13,1305,53,30,"D",40.8099,-9.05,40.7849,-9.0533,"10E0",86,"V",NA,1,1,"C",NA,NA,NA,2963,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,3.2,NA,NA,NA,NA,NA,180,7,270,2,19.5,NA,35.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,13.722536575151,13.722536575151,0.1354091,0.0406598758721723
"26","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",65,42,2002,10,25,1200,54,30,"D",37.5299,-8.9116,37.5566,-8.9049,"04E1",116,"V",NA,1,1,"C",NA,NA,NA,2963,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.2,NA,NA,NA,NA,NA,220,2,330,1,19.1,14.2,35.89,35.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.119137955448,14.119137955448,0.1354091,0.0418350057619924
"27","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",88,28,2002,10,19,1155,53,30,"D",36.915,-8.0466,36.9066,-8.015,"02E1",69,"V",NA,1,1,"C",NA,NA,NA,2963,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,3.2,NA,NA,NA,NA,NA,135,7,135,1.5,19.8,NA,35.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,13.4306405820597,13.4306405820597,0.1354091,0.0397949880446429
"28","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",50,53,2002,10,27,1630,53,30,"D",38.26,-8.8166,38.2916,-8.825,"05E1",40,"V",NA,1,1,"C",NA,NA,NA,3595,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.3,NA,NA,NA,NA,NA,360,4,330,1,19.1,16.1,35.84,36.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3595,45.7,15.1,12.7080242576077,12.7080242576077,0.1642915,0.0456853472060996
"29","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",3,11,2002,10,11,1605,53,30,"D",41.7133,-9.1033,41.695,-9.105,"12E0",100,"V",NA,1,1,"C",NA,NA,NA,2778,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,3,NA,NA,NA,NA,NA,335,10,330,2,18.3,12.7,35.44,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2778,45.7,15.1,13.9224295960982,13.9224295960982,0.1269546,0.0386765094179607
"30","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",25,3,2002,10,6,1145,54,30,"D",40.1566,-9.2566,40.1833,-9.2533,"09E0",111,"V",NA,1,1,"C",NA,NA,NA,2963,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.2,NA,NA,NA,NA,NA,NA,2,315,0.5,20.3,13,35.61,35.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.0607430760081,14.0607430760081,0.1354091,0.0416619817342119
